"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"MAXZEN 洗濯機 6kg 全自動洗濯機 6.0kg 一人暮らし 風乾燥 槽洗浄 凍結防止 チャイルドロック ホワイト JW60WP01WH マクスゼン","245","65","","753","¥ 27,780","","3","B07RWR7BX6","B0DQW6974W","86.7","56","55.7","32780"
"SunRuck 冷蔵庫 静音 低振動 小型 48L 霜取り不要 冷凍室なし ペルチェ方式 サブ冷蔵庫 一人暮らし レッド SR-R4805V2-RD","303","43","","140","¥ 20,800","","1","B0CHHX62RH","B0D48YF9JF","55","51.5","46.8","13800"
"【いつでも、新生活応援。】 冷蔵庫 小型 冷凍庫付き ブラック【JAPAN BRAND】","264","56","100","106","¥ 16,880","","1","B0DNF9BHX6","B0DLNDTZ38","","","",""
"SAMKYO 冷凍庫 200L 上開き式 家庭用 チェストフリーザー 急速冷凍-28℃ 8段階温度調節 バスケット2個付き 大容量 コンパクト 静音設計 セカンド冷凍庫 冷凍ストッカー ZC200 グレー","272","48","","138","¥ 32,980","","1","B0FC2FSYCN","B0FB3R4GX1","83","82","56.5","31000"
"PlusQ/プラスキュー ワインセラー 8本収納 BWC-008P ブラック 日本メーカー製ペルチェ採用 コンパクトモデル 静音式 国内サポートセンター 振動抑制 省エネ LEDライト 木製棚 温度設定4-22℃","340","65","50","326","¥ 14,800","","1","B078X7QWLL","B0D725FGJG","58","50","32","11200"
"ビルトインIHクッキングヒーター 工事費込み パナソニック Panasonic KZ-N1H6AK 60cm幅 IH2口+ラジエント 単相200V ブラック/ブラック Nシリーズ 標準設置工事セット 【 XPRICE限定 】工事保証3年付属","277","50","","","¥ 76,840","","1","B0GR5LDX8T","B0GR9BYV8W","","","",""
"SunRuck 冷蔵庫 静音 低振動 小型 霜取り不要 冷凍室なし ペルチェ方式 一人暮らし 寝室 ホテル 旅館 ホワイト 20L SR-R2003W","286","67","50","276","¥ 22,320","","2","B018NGUGX8","B0DDSK7R4N","48","45","41","10300"
"アイリスオーヤマ 冷凍庫 スリム 120L ホワイト スキマックス IUSN-S12A-W 前開き式 自動霜取り 幅35.6cm 新生活","288","73","100","1056","¥ 52,750","","7","B0C6LSP2CL","B0G1BVJYJ7","141","58.1","38.6","39000"
"アイリスオーヤマ 冷蔵庫 90L 一人暮らし コンパクト 小型 静音 新生活 ホワイト IRSD-9B-W","291","65","50","258","¥ 28,389","","9","B08PXZHN6L","B0D3QBG9Y6","89","55","51.5","30000"
"SAMKYO 145L 冷蔵庫 幅45cm ふたり暮らし 一人暮らし 右開き 冷凍室付き 薄型 スリム 家庭用 大容量 前開き 静音 GU140 ブラック","299","72","100","117","¥ 28,990","","1","B0FNR93VZT","B0FVXD9W1S","129","54.3","47.8","32000"
"SAMKYO 冷蔵庫 48L 小型 幅45cm スリム 7段階温度調節 ミニ冷蔵庫 一人暮らし 省スペース コンパクト 前開き 1ドア 耐熱天板 静音 GU40 ブラック","300","64","300","250","¥ 14,990","","1","B0FL7T6WHQ","B0FMY5GCL2","53.9","49.2","46.7","14820"
"【2026年新型】EENOUR 小型冷蔵庫 10L 透明ドア式 冷温庫 保冷・保温両用 LEDライト搭載 中身が見える 家用・車載対応 ペルチェ方式 省エネ設計 コンパクト 静音 一人暮らし オフィス ドライブ キャンプ （シルバー）","328","43","50","32","¥ 10,979","","1","B0GS56T991","B0GS516PLG","39.1","37.5","29.3","4140"
"パナソニック(Panasonic) ビルトインIHクッキングヒーター 60cm幅 IH2口 単相200V KZ-J1H6AST シルバー/グレー Jシリーズ","329","74","50","9","¥ 62,576","","10","B0GR5VFQGN","B0GR9C8MQK","66.6","65.8","29.5","17570"
"パナソニック 5.0kg 電気衣類乾燥機(ホワイト) ホワイト NH-D503-W","332","75","100","297","¥ 48,600","","20","B06XZV8LQM","","75","70","60","24000"
"アイリスプラザ 冷凍庫 31L ウッド 幅47cm PF-A31FD-M 直冷式 1ドア 右開き 新生活 一人暮らし","298","67","50","716","¥ 15,414","","1","B0BS651YSN","B0FTRTLRBZ","52","49","46","17600"
"タッチパネル調温 冷蔵庫 46L コンプレッサー式 1～18℃ ドリンク用 風冷式 幅43㎝ 霜防止 左右開き 庫内灯付き コンパクト 省エネ おしゃれ 一人暮らし 小型 サブ冷蔵庫 ガラスドア 保冷庫 静音 家庭用 寝室 ゲーミング バー 寮 ホテル カラオケ レストラン カフェ 黒枠","413","60","","1","¥ 32,999","","1","B0FS1QFJ1P","B0H6GXV4FY","57","55.5","51","18000"
"アイリスオーヤマ スリム冷凍庫 64L IUSN-S6A-W ホワイト","354","85","100","41","¥ 34,050","","8","B0FHW81XGD","B0FRR4NH5J","86","58.1","38","26000"
"SAMKYO 冷蔵庫 小型 一人暮らし 95L 家庭用 8段階温度調節 コンパクト 右開き 静音 ホワイト","390","60","100","673","¥ 23,990","","1","B0DKNJ2ZR7","B0DLBDSRGL","88","54","48","23500"
"MAXZEN 洗濯機 6kg 二層式洗濯機 一人暮らし コンパクト 引越し 単身赴任 新生活 タイマー 2層式 二槽式 給水切替 小型 JW60KS01 マクスゼン","356","75","100","803","¥ 24,480","","3","B0815PXPKZ","B09156SK71","90","77","41","6000"
"MAXZEN 冷蔵庫 112L コンパクト 大容量 右開き 2ドア 幅47cm 一人暮らし 冷凍室上側 温度調節 耐熱板 庫内灯 省スペース 黒 ガンメタリック JR112ML01 マクスゼン","357","62","","56","¥ 23,980","","3","B0B93HY3DL","B0C1RZ47BC","","","",""
"Shelddi 小型冷蔵庫 23L 静音 おしゃれ 省エネ ミニ電子冷蔵庫 一人用 一人暮らし 1ドア ペルチェ式 温度設定7-18℃ 家庭用 前開き SHR-023A 透明ガラスドア","358","66","50","249","¥ 16,610","","1","B0BKRLYR55","B0CG52V7B1","56","50.5","31.3","11200"
"【3.2kg・シリーズ累計60,000台突破 】clasimple 洗濯機 1人暮らし コンパクト 小型 縦型 タイマー機能付き 予約機能 ほぐし機能搭載 おいそぎ スピードコース すすぎ スリム 時間短縮モード 風乾燥 強力洗浄 (① 3.2kg)","362","71","","20","¥ 18,680","","1","B0FSKWFZ7M","B0FXWTH9PD","","","",""
"アレジア 冷凍庫 小型 上開き 41L スリム コンパクト AR-BD43 ALLEGiA (AR-BD43-BNW)","378","67","200","40","¥ 25,800","","1","B0DM54L2KF","B0C3QYT5PJ","89.5","52.5","36.5","22000"
"MAXZEN 冷凍庫 145L 家庭用 大容量 右開き ノンフロン フリーザー ストッカー 冷凍 スリム 冷凍食品 ストック 直冷式 キッチン家電 ホワイト JF145ML01WH マクスゼン","409","62","50","8","¥ 30,980","","1","B0F2T7YDNH","B0CCNTJSGB","131","59","58","30000"
"アビテラックス 冷凍庫 41L【国内メーカー】 小型 スリム 可変セパレート棚板 一人暮らし おしゃれ コンパクト 静音 幅47.5cm 高さ62cm 奥行45cm ホワイト","385","65","100","43","¥ 27,800","","1","B0GDZLMKBT","B0GPJ1BWQH","65.5","50.5","46.5","23000"
"パナソニック 6.0kg 電気衣類乾燥機(ホワイト) ホワイト NH-D603-W","391","68","100","573","¥ 54,000","","18","B06Y2QN5X6","","69","67","67","27000"
"【持ち運べる冷蔵庫】 アイリスオーヤマ ポータブル冷蔵庫 40L 車載用 節電モード切替可 スマホ充電できる アウトドア キャンプ BBQ レジャー 旅行 IPD-4B-W ホワイト","392","69","50","58","¥ 32,800","","8","B0BQYKNDN3","B0BT1G1VXQ","63","53.5","42","15180"
"Ninonly ミニ冷蔵庫 10L 小型冷蔵庫 0-65℃ 保冷保温庫 車載用 ポータブル 静音 省エネ AC/DC給電 PSE認証済 日本語説明書","396","71","100","2","¥ 10,399","","1","B0GQLG1MYD","","39","31","28","700"
"XiGLOW(シグロー) 45L 冷蔵庫 2～18℃ 展示用 一升瓶が丸ごと5本入る ファン式 コンプレッサー 日本酒収納 一升瓶 四合瓶 幅42cm タッチ式操作パネル 自動霜取り 1ドア 右開き ドリンク 静音 コンパクト 省スペース ガラスドア サブ冷蔵庫 庫内灯付き 省エネ 一人暮らし 家庭用 寝室 バー 寮 ホテル カラオケ レストラン カフェ おしゃれ ブラック","402","54","100","14","¥ 26,999","","1","B0FDBLJJ2Z","B0H8YV5PSR","59","53","49","19000"
"アイリスオーヤマ 冷凍庫 80L 幅スリム スキマックス 自動霜取り ホワイト IUSN-8A-W","405","85","100","577","¥ 37,700","","6","B09N72ZMM8","B0FN3V84GK","103","58","38.8","32000"
"【衣類も靴も布団も1台で】Qurra 衣類乾燥機 ぽけどらい トラベル 本体＋靴・布団乾燥アタッチメント セット 超小型 ポータブル 室内干し 靴乾燥 布団乾燥 オフタイマー ドライヤー2WAY 工事不要 ホテル 旅行 出張 一人暮らし 3R-HCD03WT (本体＋靴・布団アタッチメント)","406","26","","","¥ 11,480","","1","B0H44WRDWK","B0FQBGHZQR","31.5","17","6.5","425"
"SAMKYO 冷凍庫 70L スリム 幅35.6cm 自動霜取り ファン式 急冷凍 小型 セカンド冷凍庫 -27℃ 5段階温度調節 省エネ 静音 家庭用 ZU70SD ホワイト","415","64","300","48","¥ 35,990","","1","B0GWPSX776","B0GXZL83GC","93","58.5","38","27000"
"Yoquna (ヨクナ) ムーンドライ 衣類乾燥機 容量3kg UV照射衣類ケア 高温60℃ 乾燥検知自動停止 GDZ40-518E (グレー)","418","64","50","217","¥ 29,990","","2","B0CXY5QVX6","B0HFMGC9NJ","65","56","48",""
"【7kg 暮らしに、フィットする。】 ONE STEP 洗濯機 3.2kg 4.5kg 5.5kg 6.5kg 7kg 一人暮らし コンパクト 小型 スリム 縦型 風乾燥 静音 省エネ","422","43","","2","¥ 29,980","","1","B0FLP55SHR","B0F99M9GKC","","","",""
"ベッソン ワインセラー 12本収納 【設置サービス付き】小型 家庭用 スリム 縦置き コンプレッサー式【静音設計＋安定冷却】日本酒","423","44","","","¥ 42,800","","1","B0FW3CPFS7","B0H4Q838DC","","","",""
"【設置込み】アイリスオーヤマ 冷凍庫 上開き 142L 上開き冷凍庫 温度調節3段階 LED庫内灯 冷蔵温度にも設定可能 ICSD-14B-W ホワイト","381","57","","2","¥ 34,980","","1","B0FH6415VX","B0FN3QRLW5","89","68.8","59.2","28000"
"VERSOS 25L冷温庫 ブラック VS-404","432","68","100","737","¥ 14,850","","6","B00ADEHRL8","","51.2","47.2","36.2","8520"
"【50L、シリーズ累計100,000台突破】 clasimple 1ドア冷蔵庫 50L 幅44cm 両開き 小型 一人暮らし 静音 家庭用 コンパクト 1ドア オフィス 温度調節 製氷 サブ セカンド 寝室 ミニ冷蔵庫 (木目)","437","65","100","19","¥ 11,680","","1","B0GGGMBD3W","B0GGXNH9KQ","","","",""
