"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"Anker Eufy (ユーフィ) Security SmartTrack Link 4個セット","45","126","300","6893","¥ 5,990","","5","B0BZ86QD2F","B0GHQGTD7J","13.5","12.1","1.7","80"
"【整備済み品】 Apple iPhone 14 Plus 256GB パープル SIMフリー 5G対応 (整備済み品)","45","39","","296","¥ 83,989","","6","B0BLXRTCX5","B0BLXGMFPM","24.9","20","5.3","400"
"Xiaomi Smart Band 10 スマートウォッチ シャオミ バンド 大画面 ランニング 睡眠 心拍 21日間持続 LINE通知 防水 軽量","48","91","100","13255","¥ 7,780","¥ 7,780","1","B0F2JHZCQQ","B0H8Y7VTZY","18.4","12.6","2.5","110"
"【整備済み品】 Apple iPhone 13 Pro Max 256GB アルパイングリーン SIMフリー (整備済み品)","48","48","","184","¥ 96,888","","5","B0BT4TVKLT","B09NXLQ2S6","17.8","9.6","2.9","410"
"【整備済み品】 Apple iPhone XR 64GB イエロー SIMフリー (整備済み品)","49","39","","874","¥ 27,484","","3","B089YVWJDM","B08BJBPGCY","21.8","11.6","7.4","340"
"Philoent プロジェクター 家庭用 超小型 【2026最新 Android TV14.0搭載＆388g史上最軽＆HiFi外部スピーカー】","50","1","5000","7740","¥ 7,586","","5","B0F5GQLNWP","B0HDVF7JX4","17","14.8","12.5","720"
"ワイヤレスイヤホン Bluetoothイヤホン 4つのシリコンマイク搭載 AIスマート ENC通話 最大60時間再生 Bluetooth6.0 ERD","52","49","4000","938","¥ 25,000","","5","B0GVSMPQT6","B0HGMRBZ61","9.1","8","3.3","40"
"Ring 首振り機能付きインドアカム | 左右360° 上下169° パンチルト、屋内用防犯カメラ | Pan-Tilt Indoor Cam ブラック | Ring Homeプラン30日間無料体験","52","37","","288","¥ 8,290","¥ 8,290","1","B0CG2WJYTL","B0DN5XW4MQ","15.6","14.5","6.8","510"
"【整備済み品】 Apple iPhone 12 Pro 256GB パシフィックブルー SIMフリー (整備済み品)","53","44","","490","¥ 54,800","","5","B0928N4NP4","B0928KH43D","25.1","20.1","5.4","370"
"【整備済み品】 Apple iPhone 14 Pro Max 256GB ゴールド SIMフリー 5G対応 (整備済み品)","55","43","","135","¥ 121,770","","5","B0BLXWW271","B0BLY18CRG","25.2","19.9","5.1","430"
